iter	Logloss
0	0.3008663837
1	0.2409641016
2	0.2272048462
3	0.2244138526
4	0.2232809517
5	0.2220337335
6	0.2217998322
7	0.221054532
8	0.2206695443
9	0.2203922635
10	0.220069236
11	0.2199600202
12	0.2198301274
13	0.2196653108
14	0.2194231327
15	0.2193270812
16	0.2191563197
17	0.2190064911
18	0.2188827905
19	0.2187609019
20	0.2186159655
21	0.2184855424
22	0.2183858846
23	0.2182503623
24	0.2181581355
25	0.2180329125
26	0.2179511838
27	0.2177802688
28	0.2176809117
29	0.2175937817
30	0.2174920807
31	0.2173726968
32	0.2172965132
33	0.2171592874
34	0.2169895147
35	0.2168812016
36	0.2167571362
37	0.2166741289
38	0.2165780832
39	0.2165281519
40	0.2164558774
41	0.2164031244
42	0.216301967
43	0.2162008965
44	0.2161436059
45	0.2159763065
46	0.2158914855
47	0.2157852004
48	0.2156594944
49	0.2155742855
50	0.2154601966
51	0.2153550708
52	0.2152730846
53	0.2152720058
54	0.2151872924
55	0.2150735268
56	0.2149474829
57	0.2148268911
58	0.2146990211
59	0.2145672491
60	0.2144978416
61	0.2143672068
62	0.2142606303
63	0.2141474385
64	0.2140547181
65	0.2139688293
66	0.2138366104
67	0.2137544141
68	0.2136790588
69	0.2135844489
70	0.2134844507
71	0.2133902813
72	0.2133119745
73	0.2132176755
74	0.2130899716
75	0.2129629937
76	0.2128438201
77	0.212727858
78	0.2126401552
79	0.2126393947
80	0.2125399065
81	0.2124962643
82	0.2124128718
83	0.2123606442
84	0.2122922912
85	0.2122088382
86	0.2121996698
87	0.2121193116
88	0.2120038661
89	0.2119240553
90	0.2118255224
91	0.2117327624
92	0.2117085691
93	0.2116415946
94	0.2115365043
95	0.211452042
96	0.2114255764
97	0.2113296606
98	0.2112782655
99	0.2111786315
100	0.2111142104
101	0.2110252416
102	0.2109427948
103	0.2108484344
104	0.2107517772
105	0.2106531391
106	0.2105814852
107	0.2105058557
108	0.2104502977
109	0.2104186283
110	0.2103334284
111	0.2102634443
112	0.2101673818
113	0.2100679875
114	0.2099817735
115	0.2099119055
116	0.2098485862
117	0.2097425204
118	0.2097010017
119	0.2096470044
120	0.2095860462
121	0.2094818778
122	0.2093976453
123	0.2093502132
124	0.2092559248
125	0.2092051659
126	0.2090948892
127	0.2090410902
128	0.208955969
129	0.2088640308
130	0.2087883325
131	0.2087057893
132	0.2086253371
133	0.2085546541
134	0.2084327857
135	0.2083638834
136	0.2082302435
137	0.2081517208
138	0.2080552282
139	0.2079959155
140	0.2078997919
141	0.2078301322
142	0.2077451153
143	0.2076443808
144	0.2075793775
145	0.207487971
146	0.2074594005
147	0.207354923
148	0.2073135911
149	0.2072732123
